DELL,5580,1.23.1,Undefined
DELL,5590,1.28.0,Undefined
DELL,7400,1.28.0,Undefined
DELL,7480,1.24.0,Undefined
HP,830 G5,1.26.0,Undefined
HP,830 G6,1.26.0,Undefined
HP,840 G5,Undefined,Undefined
HP,850 G5,1.22.0,Undefined
HP,850 G6,1.26.0,HP\850 G6\1.26.exe
HP,850 G7,1.15.0,Undefined
